register_id,source_dataset,source_portal,source_url,source_license,processing_timestamp,name,operator_base_name,site_label,operator_slug,operator_site_count_barcelona,operator_scale_barcelona,vehicle_family,vehicle_mode_detail,service_model,micromobility_fit,micromobility_relevance_score,ds4m_use_case_role,publication_recommendation,location_context,urban_centrality_band,distance_to_placa_catalunya_km,city,district_id,district_name,district_service_count,district_micromobility_count,neighborhood_id,neighborhood_name,neighborhood_service_count,neighborhood_micromobility_count,postcode,address_line,full_address,latitude,longitude,utm31n_x,utm31n_y,geo_cell_200m,geo_cell_service_count,geo_cell_micromobility_count,primary_contact_phone,phone_general,phone_information,phone_customer_service,phone_info_reservations,phone_switchboard,fax,has_contact_phone,source_created_at,source_modified_at,source_record_age_days,source_rows_aggregated,source_contact_fields_present
98154114612,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Laser Rent a Car,Laser Rent a Car,,laser-rent-a-car,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,2.237,BARCELONA,2,Eixample,25,7,9,la Nova Esquerra de l'Eixample,7,1,8029,"Av Roma, 15","Av Roma, 15, la Nova Esquerra de l'Eixample, Eixample, BARCELONA",41.381267,2.144402,428458.82,4581435.89,20690_1072,1,0,933229012,,933229012,,,,,True,1998-06-02 22:00:00+00:00,2023-02-16 10:56:30.934968+00:00,1124,1,1
1283170220,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Cotxes Sixt Barcelona Eixample,Lloguer de Cotxes Sixt Barcelona Eixample,,lloguer-de-cotxes-sixt-barcelona-eixample,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,1.693,BARCELONA,2,Eixample,25,7,9,la Nova Esquerra de l'Eixample,7,1,8015,"C Aragó, 54","C Aragó, 54, la Nova Esquerra de l'Eixample, Eixample, BARCELONA",41.38167,2.151088,429018.27,4581475.05,20690_1075,1,0,902491616,902491616,,,,,,True,2001-10-09 22:00:00+00:00,2023-02-16 10:58:27.768595+00:00,1124,1,1
99400337242,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Cotxes Sixt Barcelona Rambla Catalunya,Lloguer de Cotxes Sixt Barcelona Rambla Catalunya,,lloguer-de-cotxes-sixt-barcelona-rambla-catalunya,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,0.874,BARCELONA,2,Eixample,25,7,7,la Dreta de l'Eixample,5,1,8007,"Rbla Catalunya, 74","Rbla Catalunya, 74, la Dreta de l'Eixample, Eixample, BARCELONA",41.392204,2.162255,429963.31,4582635.43,20696_1081,1,0,902491616,902491616,,,,,,True,2014-03-12 12:13:05+00:00,2014-03-13 13:10:24+00:00,4386,1,1
79000000588,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Vehicles Vanguard Rent a Car,Lloguer de Vehicles Vanguard Rent a Car,,lloguer-de-vehicles-vanguard-rent-a-car,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,2.077,BARCELONA,2,Eixample,25,7,9,la Nova Esquerra de l'Eixample,7,1,8029,"Viladomat, 297","Viladomat, 297, la Nova Esquerra de l'Eixample, Eixample, BARCELONA",41.388631,2.145303,428542.24,4582252.67,20694_1072,1,0,934393880,934393880,,,,,,True,1998-12-20 23:00:00+00:00,2023-02-16 10:58:42.436493+00:00,1124,1,1
75990147189,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Over Rent Car S.A.,Over Rent Car S.A.,,over-rent-car-s-a,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,2.306,BARCELONA,2,Eixample,25,7,9,la Nova Esquerra de l'Eixample,7,1,8029,"Av Josep Tarradellas, 42","Av Josep Tarradellas, 42, la Nova Esquerra de l'Eixample, Eixample, BARCELONA",41.383646,2.142829,428329.88,4581701.3,20691_1071,1,0,934052660,934052660,,,,,,True,1996-09-17 22:00:00+00:00,2023-10-03 08:17:58.480838+00:00,895,1,1
99400098443,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,BCN Rent a Car,BCN Rent a Car,,bcn-rent-a-car,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,3.313,BARCELONA,4,Les Corts,6,0,19,les Corts,6,0,8028,"C Lluçà, 38","C Lluçà, 38, les Corts, Les Corts, BARCELONA",41.382558,2.130832,427325.57,4581590.47,20691_1065,1,0,934901930,934901930,,,,,,True,2004-10-28 11:20:12+00:00,2023-02-15 09:38:40.058772+00:00,1125,1,1
99400132081,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Vehicles Daperton,Lloguer de Vehicles Daperton,,lloguer-de-vehicles-daperton,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,3.387,BARCELONA,4,Les Corts,6,0,19,les Corts,6,0,8028,"C Joan Güell, 207","C Joan Güell, 207, les Corts, Les Corts, BARCELONA",41.386266,2.129508,427218.99,4582003.2,20693_1064,1,0,902157751,902157751,,,,,,True,2005-07-23 11:07:24+00:00,2023-10-03 08:37:11.078018+00:00,895,1,1
99400337248,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Cotxes Sixt Barcelona Diagonal Mar Hilton,Lloguer de Cotxes Sixt Barcelona Diagonal Mar Hilton,,lloguer-de-cotxes-sixt-barcelona-diagonal-mar-hilton,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,major_transport_hub_or_corridor,inner_city,4.643,BARCELONA,10,Sant Martí,25,6,69,Diagonal Mar i el Front Marítim del Poblenou,1,0,8019,"Pg Taulat, 262","Pg Taulat, 262, Diagonal Mar i el Front Marítim del Poblenou, Sant Martí, BARCELONA",41.409046,2.217372,434588.11,4584462.18,20704_1108,1,0,902491616,902491616,,,,,,True,2014-03-12 12:18:53+00:00,2014-03-13 13:09:51+00:00,4386,1,1
99400582561,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Centauro Rent a Car *Estació de Sants,Centauro Rent a Car,Estació de Sants,centauro-rent-a-car,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,major_transport_hub_or_corridor,inner_city,2.541,Barcelona,3,Sants-Montjuïc,22,3,18,Sants,7,1,8014,"Carrer de Viriat, 43-43","Carrer de Viriat, 43-43, Sants, Sants-Montjuïc, Barcelona",41.380612,2.140853,428161.32,4581366.06,20690_1070,2,0,966 360 360,966 360 360,,,,,,True,2018-04-09 14:12:47+00:00,2022-11-18 07:30:09.622137+00:00,1214,1,1
99400337239,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Lloguer de Cotxes Sixt Barcelona Sants,Lloguer de Cotxes Sixt Barcelona Sants,,lloguer-de-cotxes-sixt-barcelona-sants,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,major_transport_hub_or_corridor,inner_city,2.473,BARCELONA,3,Sants-Montjuïc,22,3,15,Hostafrancs,3,0,8014,"C Rector Triadó, 104","C Rector Triadó, 104, Hostafrancs, Sants-Montjuïc, BARCELONA",41.379363,2.142256,428277.25,4581226.21,20689_1071,2,0,902491616,902491616,,,,,,True,2014-03-12 12:04:11+00:00,2014-03-13 13:10:34+00:00,4386,1,1
